date_bin,cc,emlap,lagt,noscemus,vulgate
-775,0,0,132125,0,0
-725,0,0,111606,0,0
-675,261933,0,2085,0,0
-625,0,0,21912,0,0
-575,0,0,42841,0,0
-525,0,0,139053,0,0
-475,0,0,188341,0,0
-425,149266,0,1131116,0,0
-375,514975,0,1740724,0,0
-325,311441,0,1476357,0,0
-275,26396,0,700847,0,0
-225,219360,0,424262,0,0
-175,148992,0,391336,0,0
-125,163201,0,714247,0,0
-75,1339720,0,191972,0,0
-25,3311068,0,1527848,0,0
25,1038108,0,2483008,0,0
75,2346363,0,1261817,0,0
125,474452,0,2834047,0,0
175,976870,0,5697968,0,0
225,422877,0,3419926,0,0
275,1698370,0,1002593,0,0
325,3742194,0,1890980,0,0
375,20806025,0,1384537,0,515921
425,10490229,0,1514629,0,87170
475,4113391,0,417224,0,0
525,5498366,0,3624032,0,0
575,4654771,0,1423935,0,0
625,2840701,0,175643,0,0
675,1446639,0,76161,0,0
725,2348860,0,0,0,0
775,3789134,0,0,0,0
825,6708909,0,38951,0,0
875,6709735,0,0,0,0
925,2577442,0,0,0,0
975,961529,0,596399,0,0
1025,3907288,0,2321,0,0
1075,12317118,0,550107,0,0
1125,19791026,0,473411,0,0
1175,15764681,0,284350,0,0
1225,17037421,0,9472,0,0
1275,18180537,0,10521,0,0
1325,5319384,0,0,0,0
1375,3151858,0,78502,0,0
1425,1884067,0,0,0,0
1475,3193994,0,0,359752,0
1525,7454869,450616,0,5516990,0
1575,14541647,4021538,0,15679664,0
1625,7286530,2004862,0,7956982,0
1675,2197019,0,0,12318712,0
