variable_name,model,context,lr_f1_avg,lr_f1_std,lr_f1_max,rf_f1_avg,rf_f1_std,rf_f1_max,hgbc_f1_avg,hgbc_f1_std,hgbc_f1_max,mlp_f1_avg,mlp_f1_std,mlp_f1_max,emb_type,layer,best_model,best_model_f1_performance,best_model_f1_std
cooc_vector,baseline,sentence,0.5961386908070991,0.010776777113490461,0.6153946889072378,0.5825666970957568,0.011019845306770599,0.5950043932099097,0.45299754884995613,0.015910040527281618,0.47454722946763855,0.6010459556143724,0.013480851962075423,0.6206063976259092,,,mlp,0.6010459556143724,0.013480851962075423
cooc_conc_vector,baseline,concordance,0.6102999524843166,0.010049884626001943,0.6227982140859543,0.5780550166461695,0.0070892391192036676,0.584910855258353,0.34261345582865577,0.012533225017800737,0.3576079642629231,0.6175801558212617,0.011743839626386792,0.6343573808142294,,,mlp,0.6175801558212617,0.011743839626386792
svd400,baseline,sentence,0.5966030138262298,0.011136506270277968,0.6138293438595914,0.513865162575905,0.021033530159476423,0.5479471033958804,0.5631897057760712,0.014136382341936636,0.5874935232759676,0.5655718932116172,0.013049707176027556,0.5840936099477981,,,lr,0.5966030138262298,0.011136506270277968
svd400_conc,baseline,concordance,0.606971692789057,0.0127837067647323,0.6312761080179157,0.45222664825201003,0.01760501908661099,0.4879926207012215,0.5555814874942596,0.012203372271898971,0.5746100786744219,0.568914350644153,0.012030075633328134,0.5854945776139378,,,lr,0.606971692789057,0.0127837067647323
embed_l7_xlmr,xlmr,sentence,0.5898043072385234,0.013232156379287704,0.6086532085325128,0.4688507792739064,0.025204817109649436,0.5077116610767621,0.5476757684903084,0.017850441927790315,0.5788650560785907,0.5965559086261301,0.009879251840534222,0.6129411725871513,contextual,7.0,mlp,0.5965559086261301,0.009879251840534222
embed_l8_xlmr,xlmr,sentence,0.5836682619878925,0.013712566253149311,0.6075298807176605,0.4593907038004386,0.02384736530071437,0.4944751150229894,0.5436172015745024,0.015668517835385996,0.5669606051201429,0.5890737126684348,0.012158075546275187,0.6056446797813897,contextual,8.0,mlp,0.5890737126684348,0.012158075546275187
embed_l9_xlmr,xlmr,sentence,0.5900261346389074,0.00857829387150297,0.6051293183102838,0.4637471535239528,0.021535220124893485,0.4926566573790174,0.5352921263717882,0.014656525148468819,0.5588725111751496,0.5968873772244722,0.010887846103613234,0.616544073473121,contextual,9.0,mlp,0.5968873772244722,0.010887846103613234
embed_l10_xlmr,xlmr,sentence,0.5877634061798053,0.017018430980228032,0.6124065839076981,0.47678061951411915,0.025797249293521812,0.5096323994341302,0.5527771578788842,0.020356453723473108,0.588716684310583,0.5932005877930283,0.017330099274378497,0.6244322011419053,contextual,10.0,mlp,0.5932005877930283,0.017330099274378497
embed_l11_xlmr,xlmr,sentence,0.5987378749319154,0.015835953332248097,0.619720463392031,0.47719078142673155,0.02349691921077248,0.5099635872559406,0.548177471328345,0.018036608170885877,0.5751912833516953,0.6022609845032612,0.012341431997190015,0.6237251799924607,contextual,11.0,mlp,0.6022609845032612,0.012341431997190015
embed_conc_l7_xlmr,xlmr,concordance,0.60267771343346,0.015272636383248795,0.6205482499835956,0.45740313351289236,0.015342125167883025,0.4934993065126179,0.5667631142991347,0.018473069876596408,0.5896965995346067,0.6034448738233513,0.013811766723284147,0.6356872181089737,contextual,7.0,mlp,0.6034448738233513,0.013811766723284147
embed_conc_l8_xlmr,xlmr,concordance,0.5930856894471593,0.01014455391636301,0.6047839900360629,0.44557419726015013,0.018320559891098334,0.47853488505145375,0.5532385763295408,0.014845168720727473,0.576246183612105,0.5963551205994126,0.008064426136370387,0.6072397865860286,contextual,8.0,mlp,0.5963551205994126,0.008064426136370387
embed_conc_l9_xlmr,xlmr,concordance,0.592623668133096,0.010991701779043388,0.612383667072801,0.461370818534167,0.009274048509387773,0.4721267603627275,0.5503966144469944,0.014194074125738797,0.5784566145794544,0.5929053116461325,0.008940000475900052,0.6074932310100697,contextual,9.0,mlp,0.5929053116461325,0.008940000475900052
embed_conc_l10_xlmr,xlmr,concordance,0.5870641284525778,0.01067190876911694,0.6038189488293885,0.4571603725502092,0.015067808681334505,0.4724187340848112,0.5371743202488416,0.011166043957894034,0.553605596752269,0.5817037896671345,0.005672270980963725,0.5918757297864815,contextual,10.0,lr,0.5870641284525778,0.01067190876911694
embed_conc_l11_xlmr,xlmr,concordance,0.5935809767770569,0.01319190463139494,0.6150794175984464,0.44987500450841844,0.007555374690865209,0.46545010209424215,0.5639652380495672,0.01445080993256067,0.5895864765994044,0.5877581626156758,0.008900013636273348,0.603559956040696,contextual,11.0,lr,0.5935809767770569,0.01319190463139494
embed_l7_labert,labert,sentence,0.5485680865021697,0.01166614658494198,0.5648409133277651,0.3939171046379159,0.027971050523400206,0.4342872378412344,0.4684896717988397,0.021670824666367907,0.507288772417923,0.5334582345295452,0.015025902124675652,0.5608485662662637,contextual,7.0,lr,0.5485680865021697,0.01166614658494198
embed_l8_labert,labert,sentence,0.5392943362287358,0.016051073533017622,0.5616073669874395,0.3955439536052593,0.02753174580288806,0.43087827534584555,0.4536702021467588,0.02319241035317771,0.49134844011565226,0.5261659573759437,0.01671254680204102,0.5526239817097106,contextual,8.0,lr,0.5392943362287358,0.016051073533017622
embed_l9_labert,labert,sentence,0.5282007732517494,0.01731830671069119,0.570136227594156,0.3931679672413614,0.018650885216293614,0.4176663314227178,0.4544608499329891,0.025417526505760533,0.48492963682842466,0.5209784965761567,0.014941239820632408,0.557874186108777,contextual,9.0,lr,0.5282007732517494,0.01731830671069119
embed_l10_labert,labert,sentence,0.5362093182137042,0.01742613750482187,0.5616754414613775,0.38953220944662936,0.011145588286300544,0.4069562158574691,0.4721793958427547,0.0162273470586402,0.49208864558073023,0.5337711992003638,0.0207734087533519,0.572164951133743,contextual,10.0,lr,0.5362093182137042,0.01742613750482187
embed_l11_labert,labert,sentence,0.5715860838721294,0.01877390379435947,0.5993087584801465,0.42779485892062635,0.021294063500393458,0.46095092600335735,0.5030066726135813,0.01750485057756962,0.5269976765970851,0.5731626272318276,0.016149153985427486,0.6018407936020772,contextual,11.0,mlp,0.5731626272318276,0.016149153985427486
embed_conc_l7_labert,labert,concordance,0.5283015573522722,0.01199317587933485,0.5456713006548345,0.32313264520970686,0.01784917498831304,0.3408266890747327,0.41464906740202895,0.019055507314002833,0.45087750598994997,0.5326910495140236,0.011712461582843793,0.5489291532809129,contextual,7.0,mlp,0.5326910495140236,0.011712461582843793
